1,6394.5,7013.5,426.63,7.3825,0.59066,3.1772,2857,3747,0,11.343,-0.22239,0.15553,891.6,0.833333333
2,6919.9,7352.4,109.84,0.45846,2.3965,0.78509,10500,9834.4,0,8.818,-0.17636,0.1729,600,0.166666667
3,4705,5248,265.19,3.999,0.69006,2.7229,3842.4,5110.3,210,8.5258,-0.13054,0.13128,597,0.666666667
4,4720.9,4728.2,373.16,7.3619,0.45453,4.1128,,,762,,,,,0
5,5608,6282.6,442.76,10.74,0.46996,3.9369,2979,4207.2,144,16.914,-0.52526,0.77981,621,0.833333333
6,6058.4,6082.8,547.17,11.031,0.44172,4.243,132,0,0,22.163,-0.016739,0.3327,10080,0.333333333
7,3339.5,3343.7,231,4.1479,0.54566,3.4326,,,20646,,,,,0
8,,8453.7,7.72E-11,3.16E-24,9.78E+11,1.92E-12,21600,0,0,,,,,0
9,4461.3,4977.5,303.19,5.3048,0.50544,3.7094,3592.8,7081.5,636,9.5892,-0.20276,0.16999,738,0.666666667
10,8296.5,9007.6,159.1,0.79945,2.0095,0.93613,7024,8808.4,0,5.505,-0.24033,0.10209,264,0.333333333
11,4954,4962.7,386.85,8.7378,0.46049,4.0631,,,984,,,,,0
12,6452.8,7265.9,761.93,22.446,0.35293,5.2971,4500,6489.7,0,18.064,-0.10516,0.056908,2700,0.333333333
14,5008.4,5496.9,96.72,0.50404,1.9784,0.95006,5301,8094.6,18,4.645,-0.2508,0.37641,132,0.5
15,5707.7,5709.6,202.95,1.8877,1.0388,1.8066,,,18,,,,,0
16,3529.1,4506.2,589.43,24.447,0.26906,6.8563,1870,3724.7,3504,10.152,-0.30214,0.44424,596.25,1.333333333
17,4839.6,4841.6,194.71,2.0873,0.91996,2.0438,,,0,,,,,0
18,4536.3,4538.2,177.66,1.8125,0.95403,1.9689,,,360,,,,,0
19,6322.1,6818.3,178.24,1.3922,1.3288,1.4126,4118.4,7945.8,0,6.9215,-0.43059,0.31529,252,0.666666667
20,4172.8,4197.9,426.53,9.9738,0.39344,4.6785,68,58.275,2754,16.254,-0.53249,0.1277,1754,0.666666667
21,6461.9,7395.6,590.34,15.514,0.42031,4.4497,2979,2003.9,96,18.853,-0.23462,0.51122,745.2,0.833333333
22,,9025,5.56E-12,0,,0,21600,0,0,,,,,0
23,5904.6,6231.6,159.95,1.2025,1.2272,1.5282,4022.4,3855,0,6.119,-0.27896,0.38305,237.6,0.666666667
24,5220.6,5220.8,59.192,0.17525,3.2661,0.5762,,,0,,,,,0
25,8526.1,9013.3,113.57,0.39841,2.8462,0.66099,7030,7141,0,4.9015,-0.14465,0.096598,255,0.333333333
26,4383.7,4384.9,132.41,1.1901,1.1513,1.6336,,,372,,,,,0
27,6736.2,7651.8,632.19,24.254,0.33588,5.4293,2622,3536.4,210,23.602,-0.61934,1.1169,454,1
28,4887.5,4888,100.81,0.57093,1.7536,1.073,,,60,,,,,0
29,6101.4,6103.4,234.72,2.068,1.0243,1.8322,,,0,,,,,0
31,6408.5,7419.7,629.07,15.092,0.42919,4.3642,5536,2326.2,0,15.105,-0.14905,0.081312,2496,0.333333333
32,7176.3,7843.9,376.73,5.1981,0.74189,2.5275,3101,3802.7,0,9.736,-0.34234,0.4682,598.8,0.833333333
33,4624.3,5570.8,631.12,26.435,0.28591,6.4264,1598.7,2098.6,918,10.419,-0.23605,0.45832,401.4,1.666666667
34,4124.1,5150,175.41,2.0128,0.96218,1.9474,7064,8824.7,192,12.098,-0.67682,0.56183,204,0.333333333
35,6361.9,6371,487.01,9.1469,0.5625,3.3313,,,0,,,,,0
36,6004.7,7017.6,200.93,1.9526,1.1416,1.6388,4242,8276.9,30,8.0755,-0.69861,0.64534,97.5,0.666666667
37,8010.2,8859.4,498.44,7.9889,0.63711,2.946,2989,6099.9,0,11.507,-0.18845,0.15524,733.2,0.833333333
38,6218.9,8093.8,1152.4,64.351,0.21926,8.4687,1272,1943.3,936,8.1556,-0.23116,0.3961,291.69,2.166666667
39,5321.6,6236.6,359.13,6.2207,0.61127,3.038,1780.4,2200.8,42,9.4406,-0.58573,0.79612,201.6,1.666666667
40,5582.7,5644.6,558.47,14.415,0.40974,4.5743,254,53.777,282,16.878,-0.12854,0.050729,6744,0.666666667
42,6859.5,7553.1,142.28,0.74924,1.8503,1.0181,21042,0,0,,,,,0
43,8377,8991.8,216.23,1.5089,1.4653,1.2815,4093.2,5491.1,0,8.4185,-0.32654,0.4069,283.5,0.666666667
44,8600.2,9017.4,96.835,0.2932,3.3193,0.56654,7070,9963.8,0,5.1005,-0.46392,0.10049,195,0.333333333
45,5560,6554,121.39,0.64893,1.9046,0.98662,10665,1124.3,0,11.361,-0.33415,0.94675,270,0.166666667
46,7801.7,8371.4,271.62,2.6623,1.066,1.7606,3315,4663,0,7.9428,-0.41845,0.1715,342,0.833333333
47,3244.1,3575.8,123.92,1.3093,0.99277,1.8912,4084.8,4100.7,0,5.0617,-0.1031,0.27633,294,0.666666667
48,7043.3,7692,403.82,6.1361,0.68038,2.7425,1211.6,2330.2,0,7.5094,-0.36079,0.4313,244.71,2.333333333
49,,6863.8,4.77E-11,4.27E-25,2.40E+12,7.86E-13,21600,0,0,,,,,0
50,,8324.7,1.14E-10,2.92E-25,3.19E+12,5.89E-13,21600,0,0,,,,,0
51,6227.7,6798,384.35,6.4366,0.62267,3.0057,2251.5,3769.7,0,7.7464,-0.12944,0.19787,512.57,1.166666667
53,7191.9,7200.5,451.13,8.5625,0.55323,3.398,,,0,,,,,0
54,,7060.4,4.40E-11,6.11E-25,2.03E+12,9.26E-13,21600,0,0,,,,,0
55,7073.1,7620.7,260.15,2.4798,1.0532,1.7851,4831.5,1684.2,0,9.614,-0.17544,0.14787,758,0.5
56,6898.9,6902.2,310.13,3.3166,0.85433,2.2014,,,0,,,,,0
57,4749.5,5610.3,738.79,36.129,0.25049,7.2548,1292,1252.6,1512,16.69,-0.59225,0.41446,508,1.833333333
58,5834.5,5837.5,259.99,3.0632,0.83567,2.2448,,,0,,,,,0
59,,6604,6.71E-11,2.62E-25,3.00E+12,6.27E-13,21600,0,0,,,,,0
60,7948.6,8443.1,163.82,0.8981,1.8373,1.0233,4124.4,4845.1,0,5.2293,-0.18099,0.20953,244.5,0.666666667
61,7444.1,8034.1,282.65,2.8066,1.0172,1.8472,3228,5906.3,0,6.596,-0.10663,0.26795,446.4,0.833333333
62,6384.2,7101,870.4,29.585,0.3071,6.0937,1858,2133.3,0,17.105,-0.1359,0.11881,2090.4,0.833333333
